grad_inc_mean/t=0,grad_inc_mean/t=1,grad_inc_mean/t=2,grad_inc_mean/t=3,grad_inc_mean/t=4,grad_inc_mean/t=5,grad_inc_mean/t=6,grad_inc_mean/t=7,grad_inc_mean/t=8,grad_inc_mean/t=9,grad_inc_mean/t=10,grad_inc_mean/t=11,grad_inc_mean/t=12,grad_inc_mean/t=13,grad_inc_mean/t=14,grad_inc_mean/t=15,grad_inc_mean/t=16,grad_inc_mean/t=17,grad_inc_mean/t=18,grad_inc_mean/t=19,grad_inc_mean/t=20,grad_inc_mean/t=21,grad_inc_mean/t=22,grad_inc_mean/t=23,grad_inc_mean/t=24,grad_inc_mean/t=25,grad_inc_mean/t=26,grad_inc_mean/t=27,grad_inc_mean/t=28,grad_inc_mean/t=29,grad_inc_mean/t=30,grad_inc_mean/t=31,grad_inc_mean/t=32,grad_inc_mean/t=33,grad_inc_mean/t=34,grad_inc_mean/t=35,grad_inc_mean/t=36,grad_inc_mean/t=37,grad_inc_mean/t=38,grad_inc_mean/t=39,grad_inc_mean/t=40,grad_inc_mean/t=41,grad_inc_mean/t=42,grad_inc_mean/t=43,grad_inc_mean/t=44,grad_inc_mean/t=45,grad_inc_mean/t=46,grad_inc_mean/t=47
2.322533092467712e-11,3.088887046522315e-11,2.3372359360997382e-12,2.9495466574130116e-11,1.7800638628674135e-11,-6.767156366698736e-12,-1.9704592506131007e-11,-6.106114609630436e-11,5.141578358035919e-11,-1.4354573917446978e-12,-5.512283438009715e-13,-1.6271866836949354e-11,-2.0141039446187506e-12,5.065201252353088e-12,-7.768149664469426e-11,9.605456438072e-12,-3.6829058894145274e-11,-1.7435709637323357e-11,2.5253422885247358e-11,-2.9811353819030225e-11,-5.577903861743882e-12,1.0690986658559371e-11,7.529962389971561e-12,-4.522399348684463e-11,4.992880213235465e-12,1.6646807452975843e-11,1.348623555813797e-11,-9.96427563468479e-12,5.655310236763926e-12,-2.6301835476259805e-11,1.946194093986527e-11,-8.422955051817316e-12,-6.321057291077224e-12,2.775466871518147e-11,-2.2309326137177594e-11,8.232501533690905e-12,6.536274691129891e-11,1.1972436558868235e-11,9.165135599319695e-12,-6.458151240129518e-11,-3.2490813797441815e-11,2.2396831491470047e-11,3.719880434286299e-11,-8.501248850635123e-11,-5.07717569322163e-11,-1.0630849418396787e-11,6.16267537359518e-11,-1.1348425190362367e-10
-8.105940637084542e-11,2.0252286278702112e-11,-4.269760089275917e-11,-4.3190477934799065e-11,-6.914472795656397e-11,-2.8222423612985146e-11,-1.3855604930993316e-11,5.587301373392288e-11,3.1336321603068906e-11,-1.0348755109666548e-11,-1.752653246847935e-11,2.008275872386231e-11,1.4690774918069432e-11,-6.859027739772242e-12,-2.7698085559143865e-11,5.127729158311926e-12,-4.3313664485893297e-11,8.415614596836876e-12,8.928436548704192e-12,1.511230477954208e-11,-2.200504655470946e-11,8.897959007463188e-12,2.020697822800216e-11,-3.0622835647971056e-11,4.633359637946956e-11,1.9430001714338328e-11,1.3731235369266277e-12,-3.201733938885633e-11,1.8419781175432296e-11,-4.759100175743195e-12,2.6880601458915658e-11,-2.4266730910199524e-12,-6.5587947266018806e-12,-1.4918328682171886e-11,-2.6158303343699538e-11,-1.2730933069818386e-11,-5.0888807287089505e-11,-1.5252610454606193e-11,3.325586807686537e-11,8.377854792608032e-12,2.4824713816079155e-11,3.7958738390628e-11,2.8388339774380785e-11,-3.3455047710189205e-11,3.5126749547370075e-11,3.711343549444965e-12,1.0036250912501748e-10,-9.886561503627697e-11
-9.54734087568575e-12,-1.6683397563959887e-11,-4.03129537009745e-11,6.242011970670802e-12,3.4643883285132985e-11,-4.559981862718917e-11,-8.447472425638253e-11,5.776881292597401e-11,1.3032157648154855e-11,-4.605574254299503e-11,-1.4890856814108292e-11,5.4550114790557375e-11,-1.6103236655857806e-11,4.076572087120159e-11,3.5820570156095126e-11,8.211952744538914e-12,-1.529828245163205e-11,-3.8760478180779976e-11,-5.0615269977640887e-11,-1.5805329690397593e-11,-4.8399046396935875e-12,5.533818528192496e-11,-1.3061471676111419e-11,-2.3117443115061855e-11,5.141087534626344e-12,1.2715480214205358e-11,-2.3603434998856694e-11,6.130783745995513e-11,1.7058808407341836e-11,1.7083660733811994e-11,-5.4329866817391274e-11,-1.3010889613111317e-11,1.1730833151545644e-11,1.1062235676283623e-11,-1.2755654958836763e-11,1.2220494439833563e-11,2.635935349503061e-12,5.063633297227039e-12,1.7240106893256036e-11,1.2240033779249138e-11,2.279210027536069e-11,-7.457669862715682e-11,1.2788602504992548e-11,-3.897441089439669e-11,-4.41307927830666e-11,1.7330550916858628e-12,-1.0851258201901967e-10,1.1721591764286319e-10
7.655062658722858e-11,-7.481814049206284e-11,1.2328021797167278e-11,-1.0293454989566249e-10,-4.96351556503059e-12,3.2532793067049363e-12,-3.105235040989512e-11,-2.042457810934244e-11,2.6879121547946938e-11,-2.667862559666104e-11,1.0535812654758388e-11,-5.831100894500487e-11,3.949599141974776e-12,4.594077772867019e-11,-3.24826837440806e-11,-9.365622362912138e-12,2.997609603286995e-11,4.704270255246836e-11,-4.3045062542194424e-11,-4.8923992122913496e-11,-1.968538407180805e-11,-1.2773984997783697e-11,-2.678079202255855e-11,-2.2132539568649252e-11,-9.184344549732383e-13,2.1320032821661288e-11,-3.6419747945866004e-11,-5.6281819350866146e-11,7.764386737032042e-12,-1.8434251266048123e-11,-4.820817425887505e-11,1.5092917443948223e-11,-3.8297058849910076e-11,-2.255990209039569e-11,-4.116001902530136e-11,-3.132430986947824e-11,-3.6541217728560885e-11,1.9448573305784838e-12,-2.2639842502974243e-11,-9.317941712682334e-12,-1.0190109402311014e-11,6.135646973789398e-12,-7.707270524506551e-11,-4.2196609676593236e-11,-6.247076051213839e-11,-4.1591042145522036e-11,9.546624317077639e-11,-1.0372546993514194e-10
-1.3359742453594799e-11,2.91065236283106e-11,-2.604994913076967e-12,-4.465490257151204e-11,8.66778589864679e-12,-6.701087697279568e-11,1.4647059472804833e-11,-3.5788945504157505e-12,-4.6589202606293076e-11,2.5434723371447188e-11,-6.403396275252192e-11,2.587351149159174e-11,-1.4545670242553692e-11,-7.2758962028804715e-12,8.250394906455716e-12,6.359939253530483e-11,1.2828827414549791e-11,-5.0803422251384446e-11,-3.917001819298965e-11,4.414842411869835e-11,-2.905946481756446e-11,-2.5628127358710405e-11,-1.0047232129231203e-11,1.4710480790644157e-11,2.232692886228243e-11,6.314180559411087e-12,4.766037008371034e-11,-2.504078335181795e-11,-3.2360701866167033e-11,2.181518653636618e-11,1.1063887570029285e-11,2.7848476824298992e-11,-2.1053722233946608e-11,2.22391947382003e-11,-1.8288405089909856e-11,-2.4888367610392324e-11,-6.2546179224069215e-12,3.228386283335275e-11,-6.826512166763188e-12,-3.02891753859259e-11,2.0782610389662016e-11,-5.1615218760774475e-12,-2.5057837471477482e-11,-3.1232564898823054e-11,3.229279495162781e-12,4.8545295530216596e-11,-8.069089740839307e-11,-1.2007303079832825e-12
2.356867046334599e-11,1.6986002466574982e-11,-1.1525971501649344e-11,1.782052530456492e-11,1.6455818733245514e-11,-1.3197984007115512e-11,-1.0877907616903558e-11,-6.016430081554884e-11,5.052574951187704e-11,-1.9618403265785073e-13,1.1837174229090282e-12,-1.815446673799936e-11,-2.8659690100187562e-12,1.598777570709113e-12,-7.913852400161649e-11,1.1518647797835676e-11,-3.7630054539496284e-11,-1.8278590172298145e-11,2.503331733719168e-11,-2.9491358359321825e-11,-4.848633776497857e-12,9.871567234685564e-12,7.394270509917978e-12,-4.489560010403443e-11,4.858089152028762e-12,1.732864103824036e-11,1.3964230551229527e-11,-8.190026073926385e-12,5.80080178928243e-12,-2.6667677951982502e-11,1.9512586525033774e-11,-7.863535227306223e-12,-6.0754444419425835e-12,2.8125496146539458e-11,-2.2095751742850935e-11,8.26801838257222e-12,6.521810391834781e-11,1.268094096295988e-11,9.426662950464843e-12,-6.469047099224459e-11,-3.1975969286608546e-11,2.2424677523208175e-11,3.7704807025605944e-11,-8.447196926135848e-11,-5.0174175950303015e-11,-1.0203768289261104e-11,6.240457101695636e-11,-1.1271554814633307e-10
-7.012633805549808e-11,9.523358235071883e-12,-6.113704617067949e-11,-4.6449149658689685e-11,-7.414836830303406e-11,-3.130047875505694e-11,-1.9998699106494952e-11,5.313630501965137e-11,2.7317173676941377e-11,-1.3655947219956971e-11,-2.010208308662595e-11,1.7237225583793068e-11,1.0774276122372843e-11,-9.87558728132751e-12,-3.046078047947141e-11,2.5120634210403366e-12,-4.595705917569818e-11,6.037357612319269e-12,6.689854444837729e-12,1.287726427765039e-11,-2.4067187416554332e-11,6.730042685276926e-12,1.818019746932039e-11,-3.256226257402966e-11,4.435557604797151e-11,1.7532380418307963e-11,-5.657383743589945e-13,-3.391133293097854e-11,1.6646929357593452e-11,-6.622108247741398e-12,2.507324337408288e-11,-4.120590166371466e-12,-8.27659890886549e-12,-1.6819056454720167e-11,-2.7895849989578045e-11,-1.4623316806726144e-11,-5.297520721874649e-11,-1.7364081659792288e-11,3.116379989898615e-11,6.1506219994871664e-12,2.2454159894579354e-11,3.503573498618822e-11,2.514909483004939e-11,-3.704580464115849e-11,3.0816174934936214e-11,-1.7920943022330215e-12,9.237857698156247e-11,-1.1343962220354733e-10
-5.19425498498649e-12,-1.975211685633849e-11,-2.540099816798274e-11,1.3073098130052268e-11,2.5546645218999577e-11,-3.980082382430378e-11,-9.365860497339081e-11,5.075030076559948e-11,4.751818198511265e-12,-3.711955242562633e-11,-1.4822850711816567e-11,5.2983726743963205e-11,-2.1928472655862737e-11,3.647795831308516e-11,3.374193527617328e-11,7.69389391988683e-12,-1.753769718212003e-11,-4.0318966100240545e-11,-5.0678482661359046e-11,-1.601034151956904e-11,-6.797525024659583e-12,5.2955865136091446e-11,-1.4234715555828651e-11,-2.2643089101634023e-11,2.904901631361827e-12,1.2727883379393214e-11,-2.4699333815944623e-11,6.199892525265118e-11,1.730706694380443e-11,1.5243907044534655e-11,-5.395858535709571e-11,-1.3352757605680417e-11,1.0425007935453008e-11,1.0754692820573864e-11,-1.2770874225530878e-11,1.0927823053593775e-11,1.8453432869951567e-12,4.199910794566757e-12,1.6728381997412143e-11,1.1494228672503858e-11,2.2383627343302105e-11,-7.551339658745296e-11,1.1592075232740135e-11,-4.011826181746831e-11,-4.582406788213183e-11,-7.704755624400882e-13,-1.1145233793804259e-10,1.1309752002576821e-10
3.8042437472442614e-11,-8.535171657724802e-11,3.0506828793469033e-12,-1.0265790785043483e-10,-7.614185857347244e-12,-6.0600621676465485e-12,-3.261079983463193e-11,-2.983021844687433e-11,2.5498968366135185e-11,-3.533083407149928e-11,8.351552831154522e-12,-6.179242449110215e-11,4.14745603503608e-12,4.523839302941011e-11,-3.632580957025236e-11,-1.0233417814142722e-11,2.6191580438322586e-11,4.512255961430502e-11,-4.423581613353724e-11,-4.8466388756796426e-11,-2.0076083316701162e-11,-1.3338498441443928e-11,-2.8426113437977524e-11,-2.504310691581086e-11,-7.473773427186041e-13,1.9170771142967347e-11,-3.647528719807997e-11,-5.3179479003176e-11,6.0066927175383915e-12,-2.0129620579094632e-11,-5.082074575697518e-11,1.526559732664563e-11,-3.906932052907618e-11,-2.3314551709179355e-11,-4.109446668650796e-11,-3.221821824395498e-11,-3.712328457615237e-11,8.267466382271959e-13,-2.3733032223024793e-11,-9.601810099096718e-12,-1.097048073008036e-11,4.652395975877373e-12,-7.84114393141002e-11,-4.39041196945514e-11,-6.382844441700635e-11,-4.3439809123756275e-11,9.421651441748979e-11,-1.0331568689196875e-10
-9.680859375826404e-12,3.268509615533371e-11,2.0010066162931998e-11,-2.4307563725990077e-11,1.7580520945731507e-11,-5.896435441810528e-11,1.004239190675217e-11,1.5627148334180504e-13,-4.6436576938182936e-11,2.5090536628928206e-11,-6.342855457465243e-11,2.7887685141467118e-11,-1.1389314644314331e-11,-3.5216952344524626e-12,8.253873868900572e-12,6.504684870296785e-11,1.421655595018241e-11,-5.0129618005507664e-11,-3.7674953063328716e-11,4.4976814756748353e-11,-2.821484235348936e-11,-2.484136422651946e-11,-9.409412219643596e-12,1.5628211810495846e-11,2.301183082900712e-11,6.955638451330563e-12,4.832006416389739e-11,-2.4386866881637166e-11,-3.179919386744081e-11,2.2708082502146304e-11,1.1989501128977311e-11,2.8286723755636154e-11,-2.0315529781977345e-11,2.3008354552426245e-11,-1.7571381148585674e-11,-2.4107467969830568e-11,-5.177920969132523e-12,3.2984023987733514e-11,-5.822990617834427e-12,-2.964542962843908e-11,2.1988459325744806e-11,-4.579121645647941e-12,-2.426524112809597e-11,-3.0380326329906056e-11,3.911414582131077e-12,4.9249292814084976e-11,-8.074079761396866e-11,-3.580292402230978e-13
