label,metric,metric_label,iteration,mean,std
Full Trajectory,train/reward,Reward,0,0.5870510041713715,0.048745423555374146
Full Trajectory,train/reward,Reward,1,0.5307720005512238,0.027996569871902466
Full Trajectory,train/reward,Reward,2,0.5532615333795547,0.09881697595119476
Full Trajectory,train/reward,Reward,3,0.4987127035856247,0.1043703705072403
Full Trajectory,train/reward,Reward,4,0.7911450266838074,0.01996433734893799
Full Trajectory,train/reward,Reward,5,0.5885562896728516,0.06513136625289917
Full Trajectory,train/reward,Reward,6,0.6727706491947174,0.10642597079277039
Full Trajectory,train/reward,Reward,7,0.7108285129070282,0.05140182375907898
Full Trajectory,train/reward,Reward,8,0.7162276804447174,0.11550310254096985
Full Trajectory,train/reward,Reward,9,0.7301085293292999,0.002572864294052124
Full Trajectory,train/reward,Reward,10,0.8148277401924133,0.2777708172798157
Full Trajectory,train/reward,Reward,11,0.5977617800235748,0.013326853513717651
Full Trajectory,train/reward,Reward,12,0.7067265808582306,0.18715360760688782
Full Trajectory,train/reward,Reward,13,0.6794100105762482,0.2546556890010834
Full Trajectory,train/reward,Reward,14,0.929345041513443,0.11560985445976257
Full Trajectory,train/reward,Reward,15,0.7144374549388885,0.1382063925266266
Full Trajectory,train/reward,Reward,16,0.6658049523830414,0.012593299150466919
Full Trajectory,train/reward,Reward,17,0.6016931235790253,0.0335862934589386
Full Trajectory,train/reward,Reward,18,0.9481196403503418,0.001840054988861084
Full Trajectory,train/reward,Reward,19,0.7223714292049408,0.051668018102645874
Full Trajectory,train/reward,Reward,20,0.9084520041942596,0.046614378690719604
Full Trajectory,train/reward,Reward,21,0.971465677022934,0.0513778030872345
Full Trajectory,train/reward,Reward,22,1.0270249247550964,0.02127617597579956
Full Trajectory,train/reward,Reward,23,0.8325771391391754,0.12793782353401184
Full Trajectory,train/reward,Reward,24,0.9299127459526062,0.03761494159698486
Full Trajectory,train/reward,Reward,25,1.1802976727485657,0.04661518335342407
Full Trajectory,train/reward,Reward,26,0.8800715804100037,0.21238797903060913
Full Trajectory,train/reward,Reward,27,1.0890503525733948,0.07355624437332153
Full Trajectory,train/reward,Reward,28,0.9935289025306702,0.2605891823768616
Full Trajectory,train/reward,Reward,29,1.1913079619407654,0.15329760313034058
Full Trajectory,train/reward,Reward,30,1.1467057466506958,0.004186749458312988
Full Trajectory,train/reward,Reward,31,1.1434457898139954,0.04879564046859741
Full Trajectory,train/reward,Reward,32,1.0647889375686646,0.02646768093109131
Full Trajectory,train/reward,Reward,33,1.0895923972129822,0.16806560754776
Full Trajectory,train/reward,Reward,34,0.9919822514057159,0.03850504755973816
Full Trajectory,train/reward,Reward,35,1.210979163646698,0.126109778881073
