timestep,image_idx,sample_idx,reward,ir_person,sex_score,sex_score_binary,aesthetics_score
,0,,-2.2760071754455566,-2.2760071754455566,0.5506018996238708,0.0,6.345972537994385
,1,,-2.2519326210021973,-2.2519326210021973,0.450953871011734,0.0,5.91986083984375
,2,,-2.2772796154022217,-2.2772796154022217,0.39255452156066895,0.0,3.003842830657959
,3,,-2.200366735458374,-2.200366735458374,0.5839804410934448,0.0,5.013710975646973
,4,,-2.2648627758026123,-2.2648627758026123,0.44307252764701843,0.0,5.635740280151367
,5,,-2.2662901878356934,-2.2662901878356934,0.44548502564430237,0.0,4.8453497886657715
,6,,-2.2795441150665283,-2.2795441150665283,0.5581010580062866,0.0,5.784847736358643
,7,,-2.2309274673461914,-2.2309274673461914,0.4807777404785156,0.0,5.706003189086914
,8,,-2.253131866455078,-2.253131866455078,0.5110407471656799,0.0,7.143587112426758
,9,,-2.2676985263824463,-2.2676985263824463,0.6268666386604309,0.0,6.306238174438477
980,0,0,-2.2389626502990723,-2.2389626502990723,0.5693365931510925,0.0,6.769617557525635
980,0,1,-2.2556073665618896,-2.2556073665618896,0.5283460021018982,0.0,4.477730751037598
980,0,2,-2.211663246154785,-2.211663246154785,0.4853215217590332,0.0,6.389302730560303
980,0,3,-2.2496235370635986,-2.2496235370635986,0.5135474801063538,0.0,4.730650901794434
980,0,4,-2.2241055965423584,-2.2241055965423584,0.46869319677352905,0.0,6.173302173614502
980,0,5,-2.2709710597991943,-2.2709710597991943,0.600569486618042,0.0,4.758606910705566
980,0,6,-2.2733747959136963,-2.2733747959136963,0.4609142541885376,0.0,4.604093551635742
980,0,7,-2.2695488929748535,-2.2695488929748535,0.6031361222267151,0.0,4.461176872253418
980,0,8,-2.24853253364563,-2.24853253364563,0.5469808578491211,0.0,6.488309860229492
980,0,9,-2.2406585216522217,-2.2406585216522217,0.5320929884910583,0.0,5.81488037109375
980,0,10,-2.264232635498047,-2.264232635498047,0.5493423342704773,0.0,6.471883773803711
980,0,11,-2.255039930343628,-2.255039930343628,0.6066907644271851,0.0,6.238241195678711
980,0,12,-2.2513210773468018,-2.2513210773468018,0.49147215485572815,0.0,5.142352104187012
980,0,13,-2.2438547611236572,-2.2438547611236572,0.5004898309707642,0.0,5.431693077087402
