grad_inc_norm/t=0,grad_inc_norm/t=1,grad_inc_norm/t=2,grad_inc_norm/t=3,grad_inc_norm/t=4,grad_inc_norm/t=5,grad_inc_norm/t=6,grad_inc_norm/t=7,grad_inc_norm/t=8,grad_inc_norm/t=9,grad_inc_norm/t=10,grad_inc_norm/t=11,grad_inc_norm/t=12,grad_inc_norm/t=13,grad_inc_norm/t=14,grad_inc_norm/t=15,grad_inc_norm/t=16,grad_inc_norm/t=17,grad_inc_norm/t=18,grad_inc_norm/t=19,grad_inc_norm/t=20,grad_inc_norm/t=21,grad_inc_norm/t=22,grad_inc_norm/t=23,grad_inc_norm/t=24,grad_inc_norm/t=25,grad_inc_norm/t=26,grad_inc_norm/t=27,grad_inc_norm/t=28,grad_inc_norm/t=29,grad_inc_norm/t=30,grad_inc_norm/t=31,grad_inc_norm/t=32,grad_inc_norm/t=33,grad_inc_norm/t=34,grad_inc_norm/t=35,grad_inc_norm/t=36,grad_inc_norm/t=37,grad_inc_norm/t=38,grad_inc_norm/t=39,grad_inc_norm/t=40,grad_inc_norm/t=41,grad_inc_norm/t=42,grad_inc_norm/t=43,grad_inc_norm/t=44,grad_inc_norm/t=45,grad_inc_norm/t=46,grad_inc_norm/t=47
0.0001801162423202285,0.000157250187342823,0.00016930563080846129,0.00011885642856846449,0.00014458756610716153,0.0001102779807712625,0.00016613150036567996,0.00012581539427403813,0.00010716551837374804,0.00012166420144970926,0.00013581969300990654,0.00011764519768903593,9.581529351262479e-05,0.00013222628547597586,8.335877945580903e-05,8.527588535837869e-05,0.00012107579610540987,9.634922163933203e-05,0.00011521974708307404,0.00013481870683601494,0.00012773605910195197,0.0001263019240621812,0.00011776784909799576,9.825221718491193e-05,8.504811013425384e-05,0.00011020381974305534,8.724111915325051e-05,8.69596836438253e-05,0.0001055380035078664,7.935779172395624e-05,0.0001250877755059939,8.53671153939594e-05,0.00010114471642250783,0.0001164669598325894,0.00011706016512679862,9.085214102457528e-05,9.341364024035983e-05,9.531072851493742e-05,0.00010459633067004655,0.00013474087271778877,0.00014858971201686883,0.00018395761752183266,0.00013706634648838684,0.0001715949878258756,0.00016851142777462812,0.00021259193779583655,0.0002823902862619127,0.0004181485081613965
0.00020573248189147792,0.0001698461535992491,0.00020712223611094022,0.00011828286924075186,0.00016722582034998267,0.00014643651022897374,0.0001435284264218428,0.00014478721818990054,0.00018037838721997416,0.00022132276201625788,0.0001894852810452587,0.00013749740528331222,9.575186573484984e-05,0.00012029110642288098,0.00019398562419878495,0.0001487197027605453,0.00011419340292397489,0.00015634642078599356,0.0001795627025309888,0.0001731889680054123,9.893847798999434e-05,0.00011115361956460204,9.854829794953774e-05,0.00010929178575846824,9.620846581541151e-05,0.00012374928721355885,0.00010949382731085859,8.75100658472531e-05,0.00010569450264059934,0.0001624681870532592,0.0001455745423775302,0.00011116281537603743,9.418715591147734e-05,9.035475889453463e-05,0.00012748840971938348,0.00011221591106127206,0.00012016628128554594,0.00011751573889935726,0.00014261597564194206,0.00014626754320606365,0.00012859288766077035,0.0001792186153793646,0.00025619613980314897,0.00021265480779195548,0.00020769862162893003,0.0003142034336402337,0.00032882260503834076,0.000534306787542469
0.0001933409228053647,0.0002732144126476848,0.00022609077701442364,0.00029476383269058513,0.0002270558578214695,0.00017696032600979293,0.00019355816600009017,0.0002930016137564386,0.00033955070770263693,0.00015552947410171715,0.0002001094510824293,0.00019457459364131851,0.0001396688671416942,0.00018334944775239638,0.00012565331885051634,0.00015322626978222424,0.00015530866546231966,0.0002075006302596154,0.0001311229441487478,0.00023409819542163544,0.00017851539077947927,0.00019982631453399784,0.00017089778426153504,0.00021085112535343585,0.00020395823158538966,0.00012737369701234193,0.000118780473205651,0.00013232813566945885,0.0001731705402796456,0.00015461671403699958,0.00013157680167471517,0.00016522485521227014,0.00014545188388938177,0.0001360638471975283,0.00013496293631931673,0.00013870928260677437,0.0001679160057395324,0.00013592178683754464,0.00015965470026406097,0.0002248756476363924,0.00021154951091759952,0.00019658258335388277,0.0002254899882229509,0.0003532143882022422,0.00028415271294061396,0.0003577863646086857,0.0004358487865267938,0.0006707979780732698
0.00025097611610162173,0.00036289820322702024,0.0002618692936656815,0.0002625085598343959,0.00022088176846338172,0.00035335179347895036,0.00021042493701405385,0.00024654207097968923,0.00045402011167713376,0.00028865685191968024,0.0002967676842584219,0.0002078771852411862,0.00024474162963404627,0.0001962602538203445,0.0002605797671629458,0.00023688670223061533,0.00022317119783764891,0.0002792092354560328,0.00017509413178756845,0.0002399882406712604,0.00029497472577795237,0.00020871602756573492,0.00017720250430153505,0.00017890736303688846,0.000182848884242449,0.00021998069384974206,0.0001629578765487675,0.00015854235011433186,0.00020294855617278266,0.0003096626747595895,0.00019216406852935722,0.0002030483221722113,0.00018929280002897222,0.0002527832122595271,0.0002674550733127462,0.00030679687882739597,0.0002515073323300252,0.0002481092204487279,0.0003084402623856199,0.00028443024763165163,0.0003112762574638827,0.0002664288530361816,0.00035684864129028324,0.0004134193941694242,0.0004078389494090386,0.000505434457097107,0.0007031779746779095,0.0009599385514342478
0.0003790256355968959,0.00032756503306729796,0.0003539230615780654,0.00040484104515313825,0.00036625880742171765,0.0002779663247364656,0.00023578353819188582,0.0003056135857782931,0.00027864292271291563,0.00041200592288019426,0.00023810954168454134,0.0003546248907684769,0.0004993577507972686,0.00023682148130867858,0.0003555834632774493,0.00026988190244212393,0.0003091693634062763,0.0003420073196281094,0.00022309530617567323,0.00030871872893379194,0.0003234767495584568,0.0002111467819195853,0.00022751078764475424,0.0002911936066711112,0.00027090506764041654,0.0003245210372712659,0.00023021833062166595,0.0003061792540481655,0.0002435863864666791,0.0003752189186594609,0.00022007572000869155,0.00023987173003715603,0.0002363865510766579,0.0002732659869173061,0.00031487158924977407,0.000283516422146116,0.0003132448369700793,0.0003014341974063953,0.00034229440127794033,0.0003049372028578525,0.00035391024147378745,0.0003297737441744777,0.0003793639659041981,0.0005748603005507729,0.0004758657361727624,0.000570271607764678,0.0007861843360137856,0.0011496259214809296
0.00018767110620001405,0.0001398747648537986,0.00016762122155529146,0.00011904075055592259,0.00015293456378306092,0.00010531827798086678,0.00016152805961695498,0.0001310761759116328,0.00011014249818418473,0.0001224672255569408,0.00014060115924692835,0.00011997797486100467,9.523123638704549e-05,0.0001338214623762979,8.277587529322984e-05,8.606847388849019e-05,0.00012131294339072445,9.605561222796651e-05,0.00011486072123898937,0.00013486443252460752,0.00012633094673936748,0.00012784427457153207,0.00011783412134350441,9.760593973366698e-05,8.416432175645792e-05,0.00011281783302095978,8.78596055334903e-05,8.668961485687547e-05,0.00010466438740321473,7.952322327533413e-05,0.00012419037414995404,8.540303998149222e-05,0.00010141090124452957,0.00011566884332038028,0.00011636455512242982,9.064249407206132e-05,9.339107976948624e-05,9.504413340172691e-05,0.00010561744755519573,0.0001347800758282768,0.00014987700051215055,0.00018481142261437847,0.00013724992585933827,0.0001709312947791708,0.00016896350276505694,0.00021126118143886284,0.0002838615340283342,0.00042353164723680565
0.00015983407196349438,0.00015542320788986864,0.00022266244599407307,0.0001297835287736137,0.00018251990152685888,0.00014517318464534102,0.0001370345095189935,0.0001546037618162028,0.0001617069775362328,0.00020488617802908398,0.00019155148707902895,0.00013656379114119932,9.291060629485859e-05,0.0001279153235207286,0.00020335195361925133,0.00015735405768608487,0.00011439350668003726,0.0001627541265169988,0.00017801239188465715,0.00016949337747891187,0.00010154650167949881,0.0001163563736791066,9.680579855141219e-05,0.00010305231482854275,0.00010084984335457541,0.0001292148937240673,0.00011038916384392655,8.8378940473996e-05,0.00010960474072361328,0.00017090548408785257,0.00013874678297052102,0.00011664678606931827,9.33589355671838e-05,9.253730950120487e-05,0.00012944267519830147,0.00010706242824296553,0.0001194195105922623,0.00011628230763981595,0.00014585558179382077,0.00015265528652585298,0.0001280517101217657,0.00018993813900889317,0.0002472741440275131,0.0002258643557050893,0.00020986148004595304,0.0003188311626395396,0.00034575134565568955,0.0005187981025579056
0.00023112514153375433,0.00027181303095423894,0.00021819406362049988,0.00023838049005339048,0.00022970344559069977,0.0001837170608690443,0.00019508021084184687,0.000245736814463483,0.00032303919402977435,0.00016039379360471072,0.00020151818595373888,0.00018385761533729907,0.0001429456955375394,0.00017711610987854846,0.0001279498710750954,0.00014889450178437423,0.00016150857861146878,0.00020718629442535025,0.00012961694224870055,0.00023709416692037797,0.0001769802465472013,0.0002045240933295282,0.0001659450917859455,0.00021258835456301192,0.00020814768530901063,0.00012832492986622075,0.0001193397438985421,0.00013176200049928413,0.00017396171509235296,0.00015483723917735732,0.0001323405400728185,0.00016496264655497834,0.00014467794224188677,0.00013628166113129327,0.00013514078866234898,0.0001406100625134599,0.00016881804934870245,0.00013624879744891108,0.00015997069201631852,0.0002250688488262532,0.0002114248076514428,0.0001964819997561828,0.0002253789237784857,0.0003548364286092468,0.0002851310185381057,0.00035838550896570586,0.00043613308833664204,0.0006735969239624654
0.00025749647149009774,0.00034200258314023954,0.0002749646934100252,0.0003080622336215744,0.00023167477260369556,0.0003557438425504608,0.00020736626147719458,0.00023069529452390228,0.00044810227313616356,0.0002744464385683258,0.00031892760436820413,0.00020634132025797988,0.00021971539051039168,0.00020154969688256918,0.0002518322246952226,0.00024458587559748104,0.00023026976918590406,0.00026177126297624977,0.00017832706539426543,0.000254649823855926,0.00030738962749454627,0.00020606254781268076,0.00018103736124349795,0.0001815428855200107,0.00019176641428921153,0.0002135686284983748,0.00015953106551951714,0.00015771613598549762,0.00020344663402215737,0.0003030332049352565,0.0001898095601690895,0.0002136015001095424,0.00018470195614024644,0.0002451592458591016,0.00027627760027922207,0.0002906412133426913,0.0002451230503496025,0.00025708511620047085,0.0003089877348203006,0.0002822858290118817,0.00031541992361216044,0.00026226956011924984,0.00036152026000853347,0.0004083435291094043,0.00042311443239712433,0.0005335835552366696,0.000690417764614355,0.0009724877689766798
0.00035772416864340454,0.00039688580115437253,0.0003760827322588079,0.00044883591160900884,0.0004072401528230839,0.0002641482481957418,0.00024851561188706005,0.00030613629487476576,0.00028458327414518787,0.0004260501292729612,0.00024098027199204273,0.00035718204673712117,0.0004862114511734114,0.00023807197826027418,0.0003568501733837156,0.00026628029651987406,0.0003042005618505761,0.00033762996468538636,0.00022917002543015798,0.0003047423125687254,0.00033341134669847243,0.00021059335077038948,0.00022608932445729129,0.0002917729227301074,0.00027266547109045463,0.00032887857754192634,0.0002352439873611704,0.0003056726310685922,0.00024188778033587324,0.0003723233595330985,0.00022194805658664506,0.00023879465807489806,0.00024029504172545755,0.0002719225417824904,0.0003220530609147742,0.00028463739525344637,0.0003132087997242019,0.00030359925434033627,0.0003445226519137378,0.00030451008566873705,0.00035044827838520427,0.0003268529034186102,0.0003804130231719682,0.0005793684218357091,0.0004712406109141519,0.0005809118196301436,0.0007960026932629348,0.001119790713751379
0.00035980090418883005,0.00034972457550668326,0.0003220356966166533,0.00032191336772640066,0.000267232350927164,0.00020100863511018254,0.00025318815750382287,0.00026409781030398,0.0003097048378530307,0.0002127339466318536,0.0002200908786872583,0.0002203208598259269,0.000217710040899059,0.00017937582506288445,0.0003213078977418975,0.00025739943774892576,0.0003417377362188874,0.0002324807952649152,0.00022987186860388406,0.0002248836953035598,0.0001896501186853045,0.00019065743980074487,0.00019199685439390466,0.00023388508750396154,0.00022713343131522203,0.0001794600336558951,0.0002339573456477846,0.00017710110499424793,0.00020748851512966554,0.00020344047044701456,0.0002752390979704733,0.0002049104967017191,0.00016060655659582316,0.0001901088063043339,0.0002210013803476567,0.00021551864342591733,0.00024917104192609434,0.0002816689141809071,0.0002616281082976608,0.0004519985448617158,0.00030164800959198325,0.00033974768907094597,0.0003500724441117526,0.0004015681582008115,0.00044143238054404464,0.000500529129353225,0.0005574241569083451,0.0009529358566557096
0.0003781765494308338,0.00021995587983171343,0.0002933695747562346,0.00032988382592183873,0.000393130928009438,0.00026398972192040915,0.00023717354130922837,0.0003059490228234167,0.00024129368837229028,0.0001631485145782986,0.00017005618338129303,0.00017443180846178524,0.00025308181372631056,0.00015542332068832932,0.0001932406884571866,0.00019540163793128055,0.00023703444195644283,0.0001428617016481402,0.00020147022514771564,0.00021428477335639872,0.00016284232682540185,0.00015335348363922348,0.0001696515577674074,0.0001755482547732893,0.00020978477059520976,0.00021119980092310594,0.00019277106966819022,0.00016527972084125572,0.00016855513332760696,0.00014659091284067996,0.00014508197802146197,0.00013957884096403608,0.00017800745672406378,0.00016454197385225224,0.0002095829635379063,0.00015647996615183915,0.00024673873434582247,0.00020646349263793215,0.00021983796837496736,0.00018952494347541815,0.00021449245916155556,0.0002430493389640221,0.000263527288334769,0.0002515845325951964,0.00041481227628605607,0.0003638161721448342,0.0005736654271539754,0.0007940069533178028
0.0003656853927600993,0.00027860726516781457,0.00032105900111986045,0.0002577797537819958,0.0003509566902280016,0.0003011104241839294,0.00040138150391265734,0.00034787717748241095,0.00025238591439227163,0.00026049468362826576,0.00023042457601804195,0.00029429431345804534,0.00026649169756740547,0.00023955603525418017,0.00030383525757609204,0.00023104031370014738,0.00017568959712989217,0.00026766717379776266,0.00025949421388949805,0.00022391337648301537,0.00029188369559743945,0.0002980131030736321,0.00016641440948204016,0.00028272911645741886,0.0002046395216950211,0.00024365152267064657,0.00020321553720862334,0.0002813352066867956,0.00021137261633723064,0.00018358971950456132,0.0002808055894438056,0.000176413787509764,0.00023273147094980895,0.00019162773898709215,0.00021072656591649737,0.00017287991964459452,0.0002624555203096201,0.0002703026706375896,0.00023913201652428704,0.00021467245161313923,0.0002608561689521438,0.00036230066022841173,0.0003817631860500431,0.0003896843966828353,0.0004706682734522211,0.000422610587243988,0.0006349495166868618,0.0009241186339116802
0.0004442264394624543,0.0004630030810897843,0.00028713675705762054,0.00045258965246254844,0.00024911577846919715,0.0002138681384753253,0.00029403640834695945,0.0002407288009403489,0.0003073980857025412,0.0002946759191163017,0.0002169047128630251,0.0002954780957583221,0.000213620037234634,0.00024955922788648345,0.000232320483986739,0.00022009137869148803,0.00021684068879581272,0.00028725627843204077,0.0002712702879774629,0.00031084022836546656,0.0002662145645564289,0.00020418998501208602,0.00020472771065868135,0.00022441132853461782,0.0002106687859836561,0.00021599749959029415,0.0002508389601038153,0.00028715500891927904,0.00018347903290200654,0.00021708579402082362,0.0003014602552596393,0.00020659636847566545,0.00021317227820834454,0.00031976780999354824,0.0002466906540112649,0.00027869469864014374,0.00023004597536133462,0.0002385213470810817,0.0003632025618983352,0.0003054875650420109,0.00024790483434214953,0.0002926172871130099,0.00043870460834618456,0.00035015406238251347,0.00040674580109285256,0.00044960754255284714,0.0008110093023550101,0.0010144092797319817
0.00040156566678764934,0.00031042298117754874,0.00026705713725423046,0.0004954834287557985,0.0002551781048596547,0.00031360164051919394,0.00025203821573097215,0.00022709565834176537,0.00030746056982655233,0.0002466928442957811,0.00034650099252758537,0.00023625914028040462,0.0002272288242498157,0.00023657116407645838,0.00022406273387971974,0.0004705166352497779,0.0002874341414195449,0.0003654019659417809,0.0002461283436474248,0.0003002456859412631,0.0002353329271145171,0.0002309881495393021,0.0002735327716591802,0.00020769073266757056,0.0002591979033273289,0.00026999475003791905,0.0003384948150112348,0.00019456963622363152,0.00023024663356980467,0.00021625854219324285,0.0002446408564888689,0.0002250124097261233,0.00022982377224961033,0.0002430419467243822,0.00020369777442360936,0.00022027541928044874,0.0002353029615071613,0.00024227381502621198,0.0003680605065674345,0.00032599047815959787,0.0003194897382730396,0.00035008197699313524,0.00036916886757371904,0.0004972442178558601,0.00039499900184391585,0.00045534163372887705,0.0006417369849186855,0.0010202552365831345
0.0003279069141808306,0.0003260412643017896,0.00032370023336566155,0.0003114531276417873,0.00026434259142637775,0.0002046953073712717,0.00024591993685569387,0.0002634958726273891,0.00030495275135181853,0.00020567010170905605,0.00022119981799216602,0.0002238414703926761,0.00021499654341928292,0.00018043456766967097,0.0003255194274772182,0.00025792142878690153,0.00034171104516336797,0.00022615024337149903,0.00022857282111669687,0.00022411006839912978,0.0001898766974399053,0.0001869710735676567,0.0001927927347613058,0.00023336795014758757,0.00022561095903571272,0.0001807449014784136,0.00023436439202027947,0.0001761751237812271,0.0002081874080035673,0.00020365424708483696,0.00027545581439361924,0.00020474672578716445,0.00016056099591703392,0.00019048732932061668,0.00022042515847506573,0.00021543351242668988,0.0002493374664370213,0.0002832804038188716,0.00026135823753079386,0.00045304934934461185,0.0003007793064603717,0.0003398479144707244,0.0003510871444995645,0.00040037678414167545,0.0004417099745900286,0.0004987263259291312,0.0005570853625205228,0.0009481353658720603
0.0003404664222177521,0.00019735575898158114,0.00032831785944675834,0.00032601622749219277,0.0004220747134328903,0.0002670011368598027,0.00024535660003985446,0.00029849217515396786,0.00024050815096260075,0.00016911399392177554,0.00017215503316861521,0.0001708775134969153,0.00025359593867464524,0.00015625835438501742,0.0002005468497550811,0.0001910666515395119,0.00024430006907231257,0.00014108114117492544,0.00020345754925180773,0.0002148797402298625,0.00016460121839636583,0.00015540912638777694,0.00016594441656400945,0.0001781884382640166,0.00020512684705737506,0.00020707867006364828,0.00019648704131415933,0.00016858852623466254,0.0001666385624706545,0.0001489122135014781,0.00014144255779148328,0.0001415294712799562,0.00017642944344809506,0.00016804735367168683,0.0002095220018478804,0.00015631428093887905,0.00025169693152100593,0.00020934330060307912,0.00022085168015722895,0.00019165490356530762,0.00021160497352998428,0.00023945005296263796,0.0002590045668985483,0.0002546890866755604,0.0004109026194250237,0.0003626782271161238,0.0005709878586139444,0.0008259583056041415
0.00038257669784883176,0.00025368656889309196,0.0003047960947870956,0.00029479256054326203,0.0003139126149615343,0.00028493801816132486,0.0004100953018376741,0.00030302250561141576,0.00024382443088423903,0.00024595005161729734,0.00022654865562810264,0.0002861402146711366,0.0002697326617310958,0.000233963365655891,0.0003040668747423733,0.0002329192805934102,0.0001782085345259754,0.00026998068831036407,0.00026179382321332234,0.00022580903333831935,0.0002948316396076343,0.0002955372324413838,0.00016705761493280018,0.000278234069927649,0.00020590008131911007,0.0002419621320245891,0.00020447662807425977,0.00028271448918375036,0.00021201933763788662,0.00018073567851612153,0.00027903060133820226,0.00017700720190910114,0.00023125847742916044,0.00019090727665880254,0.0002115542907464223,0.00017279700647633396,0.0002622147644998166,0.00027041463651485695,0.00023986231502039153,0.00021472361010127063,0.0002602671175264986,0.0003635942088498485,0.0003835903974726898,0.0003895392810655886,0.00047200791119479386,0.0004225880219544962,0.0006382890101388822,0.0009208905407604188
0.0003041259093240491,0.0004580026331390495,0.00027657819229885233,0.0004513599989588454,0.00024940563383540475,0.0002149901624658869,0.00030860656338183094,0.00025166729031115355,0.00031510560517605975,0.0002905797643697333,0.00021180867603660855,0.00030175644815716484,0.00021827340493848875,0.00024698851633981684,0.0002364436639140571,0.0002264382213274274,0.0002151123024209891,0.00028171839576514616,0.0002724219317342325,0.0003081385993845505,0.00026695699422246043,0.0002041460196123277,0.00020636711446633246,0.00022642110091501412,0.00021255038748397022,0.0002142153019378125,0.00024845754131518213,0.00028683684954827353,0.000182854089187847,0.00021962759536339743,0.00030347537137420205,0.00020683361763108445,0.000214316572620085,0.00032039392367146574,0.0002481685104265628,0.00027944120390836904,0.0002311520561877758,0.0002381337737630027,0.00036470372760661067,0.00030500703716192647,0.000248188137620233,0.0002926207313003568,0.0004407705698744286,0.00035238422300127686,0.0004088038157241943,0.00044949752650826015,0.0008035786647024584,0.0010048689343846035
0.0003660848429105881,0.00032637383232420796,0.0002753819469976158,0.0004390732544556077,0.0002611215756336955,0.00030092038072362313,0.000246636807355734,0.00022873792006085418,0.0003050442700788081,0.00024618680206890204,0.0003474531737982354,0.00023433463033764918,0.00021990718195573762,0.00023195605698557144,0.00022737528359432753,0.00047682703622944624,0.00028727585953799284,0.00036534056643520286,0.00024359804238336598,0.00030133724243881283,0.00023376341021452368,0.00023016400688477488,0.00027318412028336773,0.0002085292791198858,0.0002599538559851302,0.0002700946280362394,0.00033964537999818815,0.0001933787542882828,0.00022984680458364794,0.00021682397033701838,0.0002451989279350275,0.00022554455845633843,0.00022927149619292789,0.00024315079881569493,0.00020333632287534008,0.0002199429424726368,0.0002352591287439436,0.00024292616497769798,0.0003677100087243845,0.0003253565890788073,0.00031986398914319626,0.00034946685816126665,0.0003672386813896703,0.0004970385293702246,0.00039580465951062085,0.0004545474799028109,0.0006413859573780756,0.0010115444585884112
0.00026672336486368263,0.00024482573138139284,0.00030318997278559187,0.00023372367818155936,0.0002059647947935179,0.0003640583461652197,0.00027452726832508296,0.00021767645968790824,0.00022039574735211034,0.0001998730874906156,0.00019028299562028387,0.00027051214813326633,0.0001760033327749048,0.00018117055003912232,0.00022145592389520504,0.0002137401697138695,0.00018233706337032364,0.00019899667054589082,0.00018622131510355786,0.00017810258304879758,0.00015389616075458477,0.00019917396983237746,0.0002636690396817587,0.00022092838790752087,0.0001753350645993598,0.00019829191158601142,0.00020944817822938702,0.00023964894020318632,0.0002239249758208969,0.00015622362637323888,0.00018061359013536528,0.00018134970175198294,0.0001892899299720586,0.00025601642116728147,0.0002347812806203708,0.00016094249598956557,0.0002073572272464669,0.000261891475152381,0.0001847065375301118,0.00017592872883402604,0.00028437871023887727,0.0002289309897588957,0.00029496346439751174,0.00027272207377145057,0.000384116643003532,0.0003528724916959838,0.0005283689698146296,0.0009400334484531018
0.00013060871185770133,0.00015704241432400932,0.0001521762109043018,0.00019023931535156111,0.00015430939806144258,0.00015383542722302427,0.0002138829367458546,0.00019538476992899724,0.0001604353276870284,0.0002076753259470847,0.00018283314951446638,0.0001385771312628872,0.00015440635074540662,0.0002032596840546264,0.00014476971594081615,0.0001460805834479011,0.00010690490472197359,0.00011260312993513228,0.00010362838219534746,0.00012372715912033403,0.00012743593881685403,0.0001396948537369321,0.00014660510351442312,0.0001514009084421799,0.0001605823522641625,0.0001284412346399869,0.0001383206459278651,0.00012090308229796039,0.0001402342769479973,0.00013801367771586933,0.0001564059759755077,0.00015083928569232515,0.00013573470597393958,0.00012606894801883432,0.00011694829876904435,0.00013625713965623496,0.00017972722481477717,0.00015307396256848468,0.00013670077493403674,0.00013644120313918088,0.00022039406440454428,0.0002403753517084353,0.0002008323016527281,0.00023810081122149575,0.0002623226412830697,0.00035019708554686983,0.0003336223050582548,0.0005808903910426608
0.00025297812726984197,0.0001102530269054603,0.00012713157089058903,0.0001622068826444369,0.00021495271198496003,0.00017323329012289737,0.0001223835137022639,0.00012267993837239936,0.00013679837966503426,0.00010436345363156736,0.00020770508069247503,0.00013544721817825502,0.00012563760646734724,0.0001063072312564426,0.00011034967640527708,0.00013333030335168603,0.00011068951335716001,0.00011432535358710271,0.00011063280439534807,0.000113412903982273,9.158718299234768e-05,0.00019177516510920405,0.0001205058625150029,8.968349948414145e-05,0.00011880204296982445,0.00010906204969779893,0.00010174075960770585,8.733847694198867e-05,0.00010180359848225418,0.00012182423519048179,8.91142779989202e-05,0.00011273760805718121,0.00011408147896423375,0.00010942593678091262,0.00012062258457834824,0.00010247966588405049,0.00010977577617497344,0.00015386277232600507,0.0001101665970558678,0.00015643102972636634,0.00016985226732155775,0.00012590344553123448,0.00013842704383752012,0.00017254365310239835,0.00017801933957637756,0.00023605324533288745,0.0002818893411560458,0.0006275461657098392
0.0003888166918717433,0.00043300216766639936,0.0003270235224978485,0.0004402585560966496,0.0004972472715813775,0.00026378951878041344,0.00021446890559884707,0.0002697194186634443,0.0003684844738418698,0.00027004763971353734,0.00021307500055585998,0.00027992331452557167,0.00027219073189872506,0.0003180372541866879,0.00021553545232877067,0.00021087332028746502,0.00026347560456029093,0.0001942158752362467,0.00024581503241437915,0.0003515104078403656,0.00023456931182409992,0.00029414255541431253,0.00024202150505599264,0.0002122979569068978,0.00021107077952521914,0.00020178091394430517,0.000209358265921284,0.00019631789700061688,0.0002636370506238192,0.0002124728243981583,0.0003066142113261976,0.00026769969919144984,0.00020403714117788238,0.00027492241579863693,0.0003226000234568217,0.00022875862224987684,0.0002261706909637642,0.00022580339797700097,0.00029556978002935304,0.00032626138137880977,0.00027620195150103926,0.00027664833373180787,0.0003487437179748444,0.00043806139214151805,0.0005122347957218513,0.0004850958599895158,0.0006607886923673355,0.0010445274049201451
0.0005009218319540636,0.0004229661631933843,0.0005039172377787866,0.0003199420423222323,0.00037344014801907844,0.0003966903562346253,0.0003801295875886092,0.000341976325300195,0.0005154534567396455,0.000261586535057554,0.00035530904290211355,0.000361887579932293,0.0003809152348867687,0.0002540720667805544,0.0003568480296648662,0.00026036657876727596,0.00034755846536765536,0.00029027172737471714,0.00030641655916621496,0.0004363113638875686,0.0003214898620637752,0.00032815812448542696,0.0002563304043708204,0.00032663183177217053,0.00035933947783440054,0.0003283660203117549,0.0002657456921958924,0.0003879682536835926,0.00025590129775015423,0.00031464506654117666,0.0003751341401768134,0.0002880789588967106,0.0003667626386859525,0.0002645307497359485,0.0005469991831397206,0.0003450067377216649,0.00034067937000684573,0.00033300935480198846,0.0004463625398338589,0.0003865441757399167,0.0005076094876480407,0.00038837104228850265,0.00041896800545210657,0.0004934053401177506,0.0006132047582440883,0.0008180112562115596,0.0008751307659739327,0.0012936269925659127
0.0002827618596988125,0.0002386490638999793,0.00029599042187966005,0.0002370773166633357,0.00020275259046403674,0.00035863551445545675,0.00027961034518060574,0.00021477532994594264,0.00022102650069447512,0.00020151667539957245,0.00018954647288277386,0.00027632053249138826,0.00017488118710067116,0.00018140011187702787,0.00022312683226295783,0.00021545340115865087,0.00018091514351834453,0.00020101546657272598,0.0001871713209301976,0.00017754702541543984,0.00015390594125665072,0.0001992810222720617,0.00026249601989594305,0.0002223085502740059,0.00017215117928138436,0.00020021152497257417,0.00021039975888450458,0.00023752677900383497,0.00022518488269363237,0.00015569683040660048,0.0001806016416732539,0.00018191560906274265,0.00018932153946530576,0.0002545919708826181,0.00023594944832509542,0.00016175376515646176,0.00020781622482679362,0.0002630183940627271,0.00018367377688572936,0.00017680389428968637,0.0002825793619983548,0.00022878475700409133,0.00029665731052926433,0.0002718268433037908,0.00038349659825129604,0.0003513057600269398,0.0005210626191667722,0.0009398488524534406
0.00012488281666617968,0.00015234097936364226,0.0001483002845763764,0.000191212879674224,0.0001586314651515164,0.00015651947113101542,0.00021053804997747083,0.00020814231117440582,0.00016623526455182246,0.00021692153240975,0.00018195388573487626,0.00013977731668096582,0.00015166924341271514,0.00021486873667196608,0.00014334384723166936,0.00014599630333145768,0.00010684941588010215,0.00011329358035540349,0.00010463572504422438,0.00012440876279362837,0.00012534511700782456,0.00014163216470965454,0.00014768838535661935,0.00015202161830037202,0.00016286611864349806,0.0001284788425614251,0.00013980467031768533,0.0001219890525582767,0.00013938287578815528,0.0001364353657499994,0.00015661337101948458,0.0001504112962042847,0.00013631621629948441,0.00012663362205158837,0.00011659859702229344,0.00013693094970991504,0.0001786870045916119,0.00015241861489787405,0.0001367201315442804,0.0001361293735478164,0.0002208357712944606,0.00023880913102556134,0.00020013285250563352,0.0002388934862438753,0.0002628977017650289,0.0003514833155638778,0.0003336081294421375,0.0005787917514006966
