timestep,image_idx,sample_idx,reward,ir_person,sex_score,sex_score_binary,aesthetics_score
,0,,2.2440998554229736,0.24409975111484528,0.9857235550880432,1.0,5.3102521896362305
,1,,-0.3776802122592926,-0.3776802122592926,0.02244904451072216,0.0,5.525481224060059
,2,,0.9646502137184143,0.9646502137184143,0.013162939809262753,0.0,6.556035041809082
,3,,0.3090468943119049,0.3090468943119049,0.012173404917120934,0.0,5.3045454025268555
,4,,0.7435541749000549,0.7435541749000549,0.012369970791041851,0.0,6.034550666809082
980,0,0,2.3709352016448975,0.3709352910518646,0.9729737639427185,1.0,5.71354866027832
980,0,1,-0.6217578053474426,-0.6217578053474426,0.03763154521584511,0.0,4.681920051574707
980,0,2,0.6132081747055054,0.6132081747055054,0.012662654742598534,0.0,5.44731330871582
980,0,3,-0.3598566949367523,-0.3598566949367523,0.014279955066740513,0.0,5.340125560760498
980,0,4,0.21786119043827057,0.21786119043827057,0.03407350182533264,0.0,6.375157833099365
980,0,5,-0.05653992295265198,-0.05653992295265198,0.01376993115991354,0.0,5.988185405731201
980,0,6,-0.7484332919120789,-0.7484332919120789,0.016268935054540634,0.0,6.125741004943848
980,0,7,0.13564199209213257,0.13564199209213257,0.012759655714035034,0.0,5.925145149230957
980,0,8,0.19217416644096375,0.19217416644096375,0.013603972271084785,0.0,6.477616310119629
980,0,9,-0.14164501428604126,-0.14164501428604126,0.017725195735692978,0.0,5.871203422546387
980,0,10,2.916358470916748,0.916358470916748,0.9768474102020264,1.0,6.641048431396484
980,0,11,-0.4708818793296814,-0.4708818793296814,0.012864740565419197,0.0,5.720013618469238
980,0,12,-0.7593379616737366,-0.7593379616737366,0.012304314412176609,0.0,4.840013027191162
980,0,13,-0.6853871941566467,-0.6853871941566467,0.015076953917741776,0.0,6.7078447341918945
980,0,14,-1.2888692617416382,-1.2888692617416382,0.01475091278553009,0.0,4.754347324371338
980,0,15,0.6493037343025208,0.6493037343025208,0.013386020436882973,0.0,5.389369487762451
980,0,16,-1.360572338104248,-1.360572338104248,0.014156692661345005,0.0,5.075550079345703
