timestep,metric,avg_deviation,variance,d_avg_deviation_diff,d_variance_diff,d_avg_deviation_grad,d_variance_grad
0,reward,0.03941334189847111,0.0008250538996367211,0.0013004192765802135,0.0001349584258280349,0.0013004192765802135,0.0001349584258280349
20,reward,0.06542172743007538,0.0035242224161974194,0.0008100241979118454,0.00014152663981676177,0.0010552217372460295,0.00013824253282239835
40,reward,0.08162221138831229,0.006354755212532655,0.00021278285799780777,6.533621882353091e-05,0.0005114035279548266,0.00010343142932014632
60,reward,0.08587786854826844,0.007661479589003273,0.0006563826870115009,0.00013204855197009995,0.00043458277250465436,9.869238539681542e-05
80,reward,0.09900552228849846,0.010302450628405272,0.00048151293848059035,3.5149021642154416e-05,0.0005689478127460457,8.359878680612718e-05
100,reward,0.10863578105811027,0.01100543106124836,0.00024035840318538463,0.00017201468045106486,0.0003609356708329875,0.00010358185104660965
120,reward,0.11344294912181796,0.014445724670269658,0.000691370699350953,0.0002493409283541513,0.00046586455126816883,0.00021067780440260807
140,reward,0.12727036310883702,0.019432543237352683,-8.748806247604047e-05,-6.313201892907614e-05,0.00030194131843745627,9.310445471253756e-05
160,reward,0.1255206018593162,0.01816990285877116,-8.277630107477174e-05,-9.01916536001357e-06,-8.51321817754061e-05,-3.607559214454485e-05
180,reward,0.12386507583782078,0.01798951955157089,9.183323141769422e-05,-0.00014592201715811753,4.528465171461243e-06,-7.747059125906555e-05
200,reward,0.12570174046617466,0.015071079208408538,0.000209551543608541,9.867692205604416e-05,0.0001506923875131176,-2.3622547551036682e-05
220,reward,0.12989277133834548,0.01704461764952942,0.00023015203751856477,0.00031559419669573917,0.0002198517905635529,0.00020713555937589166
240,reward,0.13449581208871678,0.023356501583444204,0.0005166405279887834,-4.026833748807645e-05,0.0003733962827536741,0.00013766292960383134
260,reward,0.14482862264849244,0.022551134833682675,-0.00032588343392126324,3.6229560771271034e-05,9.537854703376008e-05,-2.0193883584027074e-06
280,reward,0.13831095397006718,0.023275726049108096,0.0009282755238236865,0.0002077502900642193,0.0003011960449512116,0.00012198992541774516
300,reward,0.1568764644465409,0.027430731850392482,0.00014232187150628461,0.00046996357532221814,0.0005352986976649855,0.00033885693269321873
320,reward,0.1597229018766666,0.036830003356836845,-0.0004450088581361353,-0.0005123466070386768,-0.00015134349331492533,-2.1191515858229316e-05
340,reward,0.1508227247139439,0.02658307121606331,0.001186824937118218,0.00035333401877563465,0.00037090803949104133,-7.950629413152107e-05
360,reward,0.17455922345630825,0.033649751591576,-0.0008655661878874538,-0.0003361246659320062,0.0001606293746153821,8.60467642181421e-06
380,reward,0.15724789969855918,0.026927258272935878,0.0020612849160097533,0.0018391904405135827,0.0005978593640611499,0.0007515328872907883
400,reward,0.19847359801875425,0.06371106708320753,-0.00017942061100620772,-0.0008085003388513801,0.0009409321525017729,0.0005153450508311013
420,reward,0.1948851857986301,0.04754106030617993,0.0011294843603363955,0.0021180321770841236,0.0004750318746650939,0.0006547659191163717
440,reward,0.217474873005358,0.0899017038478624,-0.0005840910585802716,-0.0010811167316954328,0.0002726966508780619,0.0005184577226943455
460,reward,0.20579305183375257,0.06827936921395375,0.00183222590171499,0.002658297085226499,0.0006240674215673592,0.0007885901767655332
480,reward,0.24243756986805237,0.12144531091848373,0.0007724184399121425,-0.0002514504120511227,0.0013023221708135663,0.0012034233365876882
500,reward,0.2578859386662952,0.11641630267746128,-0.00039572022995707916,0.0002941551230065467,0.0001883491049775317,2.1352355477712026e-05
520,reward,0.24997153406715364,0.12229940513759222,0.0015098887407657454,0.0015488598277782664,0.0005570842554043331,0.0009215074753924066
540,reward,0.28016930888246855,0.15327660169315754,0.0014296329082790216,0.0006284819881300502,0.0014697608245223836,0.0010886709079541584
560,reward,0.308761967048049,0.16584624145575855,-0.00011287409928627812,1.860186908832495e-05,0.0006583794044963717,0.0003235419286091876
580,reward,0.3065044850623234,0.16621827883752505,0.0033252385538362515,0.004374333600986271,0.0016061822272749869,0.002196467735037298
600,reward,0.37300925613904845,0.2537049508572505,0.0008898586753930404,0.001324775126068059,0.002107548614614646,0.002849554363527165
620,reward,0.39080642964690926,0.28020045337861166,0.003672024577292174,0.005439452577880105,0.002280941626342607,0.003382113851974082
640,reward,0.46424692119275274,0.38898950493621376,0.0038940138492434967,0.003324598532913997,0.003783019213267835,0.004382025555397051
660,reward,0.5421271981776227,0.4554814755944937,0.0007639307673671214,0.0020926951509831703,0.002328972308305309,0.0027086468419485837
680,reward,0.5574058135249651,0.4973353786141571,0.0009241009275720025,0.0006322283460433176,0.0008440158474695619,0.001362461748513244
700,reward,0.5758878320764051,0.5099799455350235,0.004388297636323845,0.005446279962798317,0.002656199281947924,0.003039254154420817
720,reward,0.6636537848028821,0.6189055447909898,0.005422967014426827,0.005362298069124976,0.004905632325375336,0.0054042890159616466
740,reward,0.7721131250914186,0.7261515061734893,0.0013335106798767816,-0.002190072818594896,0.0033782388471518044,0.0015861126252650405
760,reward,0.7987833386889542,0.6823500498015914,0.003198926492506865,0.0003087826795352577,0.0022662185861918233,-0.0009406450695298191
780,reward,0.8627618685390915,0.6885257033922966,0.00554701538976225,0.010625851119199886,0.004372970941134558,0.005467316899367572
800,reward,0.9737021763343365,0.9010427257762943,0.0007965917165493108,0.00546617477176411,0.0031718035531557802,0.008046012945481998
820,reward,0.9896340106653227,1.0103662212115765,0.0019069507593157842,-0.009223112604480554,0.0013517712379325475,-0.0018784689163582225
840,reward,1.0277730258516384,0.8259039691219654,-0.0010504670908558112,0.010339403786602298,0.0004282418342299865,0.0005581455910608713
860,reward,1.0067636840345222,1.0326920448540113,0.0004657290453324081,-0.0021431772741265674,-0.0002923690227617015,0.004098113256237865
880,reward,1.0160782649411704,0.98982849937148,0.003187140316280412,0.006411063888452545,0.0018264346808064102,0.0021339433071629887
900,reward,1.0798210712667786,1.1180497771405309,0.001879315726604569,-0.0009285522098447241,0.002533228021442491,0.0027412558393039104
920,reward,1.11740738579887,1.0994787329436364,0.0027565168324508505,-0.004350064260180442,0.0023179162795277097,-0.002639308235012583
940,reward,1.172537722447887,1.0124774477400276,-0.004061128515168077,0.001599745608819325,-0.0006523058413586136,-0.0013751593256805584
960,reward,1.0913151521445255,1.044472359916414,0.004517530026612792,0.003635079431993926,0.00022820075572235754,0.0026174125204066257
980,reward,1.1816657526767813,1.1171739485562926,,,0.004517530026612792,0.003635079431993926
