grad_inc_std/t=0,grad_inc_std/t=1,grad_inc_std/t=2,grad_inc_std/t=3,grad_inc_std/t=4,grad_inc_std/t=5,grad_inc_std/t=6,grad_inc_std/t=7,grad_inc_std/t=8,grad_inc_std/t=9,grad_inc_std/t=10,grad_inc_std/t=11,grad_inc_std/t=12,grad_inc_std/t=13,grad_inc_std/t=14,grad_inc_std/t=15,grad_inc_std/t=16,grad_inc_std/t=17,grad_inc_std/t=18,grad_inc_std/t=19,grad_inc_std/t=20,grad_inc_std/t=21,grad_inc_std/t=22,grad_inc_std/t=23,grad_inc_std/t=24,grad_inc_std/t=25,grad_inc_std/t=26,grad_inc_std/t=27,grad_inc_std/t=28,grad_inc_std/t=29,grad_inc_std/t=30,grad_inc_std/t=31,grad_inc_std/t=32,grad_inc_std/t=33,grad_inc_std/t=34,grad_inc_std/t=35,grad_inc_std/t=36,grad_inc_std/t=37,grad_inc_std/t=38,grad_inc_std/t=39,grad_inc_std/t=40,grad_inc_std/t=41,grad_inc_std/t=42,grad_inc_std/t=43,grad_inc_std/t=44,grad_inc_std/t=45,grad_inc_std/t=46,grad_inc_std/t=47
3.3746844561966366e-08,3.2801754391728134e-08,3.0204728422314346e-08,3.0193254815670414e-08,2.5064552377930966e-08,1.8853224340748985e-08,2.3747303847040814e-08,2.4770554075113347e-08,2.9048178871807543e-08,1.995297773423907e-08,2.0643007246773014e-08,2.0664577892228535e-08,2.041970107430311e-08,1.682421588188871e-08,3.0136465904869785e-08,2.4142292903999333e-08,3.205264392299735e-08,2.1805096013127197e-08,2.156039667669312e-08,2.1092540406588118e-08,1.7787873798873386e-08,1.7882353575636015e-08,1.8007981431356106e-08,2.1936808944803993e-08,2.130355013615561e-08,1.6832114067429733e-08,2.194358626059043e-08,1.6610862820002086e-08,1.9460992418182498e-08,1.908131373173422e-08,2.5815530056896814e-08,1.9219192060949003e-08,1.506378788372194e-08,1.7830895535621885e-08,2.0728406026067776e-08,2.0214163097498065e-08,2.3370526097427625e-08,2.6418602494151288e-08,2.453891305156025e-08,4.2394347702022386e-08,2.8292503919847636e-08,3.18659912187081e-08,3.283438206888678e-08,3.766432506997188e-08,4.140331432580411e-08,4.694618198667668e-08,5.228254337126e-08,8.937881438787904e-08
3.547035341502441e-08,2.0630345284723787e-08,2.751604379880314e-08,3.094082885085943e-08,3.6872971039209416e-08,2.4760416129830684e-08,2.2245243243116108e-08,2.8695909312358737e-08,2.2631684635816503e-08,1.530220601974927e-08,1.5950097736157676e-08,1.6360501205781298e-08,2.3737329533780177e-08,1.457763608570868e-08,1.8124644492248318e-08,1.8327326656632872e-08,2.2232196682692068e-08,1.339944281198244e-08,1.8896518304345604e-08,2.0098434590535077e-08,1.5273487719201696e-08,1.4383499638713776e-08,1.591214664282073e-08,1.646521617369126e-08,1.9676365351846995e-08,1.980908544223598e-08,1.8080597487109827e-08,1.5502098475960992e-08,1.5809309588457832e-08,1.3749217114904527e-08,1.3607689430550616e-08,1.3091533109879773e-08,1.6695872364415327e-08,1.5432902893976316e-08,1.9657437241008358e-08,1.4676742146307847e-08,2.3142392413263092e-08,1.9364852374346222e-08,2.0619286002891644e-08,1.7776133227068628e-08,2.011791408739781e-08,2.279635255892212e-08,2.4717043047236535e-08,2.3596894885036896e-08,3.890653204938656e-08,3.41234490173982e-08,5.380586256275521e-08,7.447237881501751e-08
3.429876902582783e-08,2.613144092188935e-08,3.0113121117466266e-08,2.4177963926231396e-08,3.291731825913025e-08,2.824208211436253e-08,3.764681818442538e-08,3.262848119190181e-08,2.367205897335862e-08,2.44326056307187e-08,2.1612236822108775e-08,2.760277791444078e-08,2.4995084198404236e-08,2.2468704751672846e-08,2.8497652703185474e-08,2.1669988772165165e-08,1.6478473112411445e-08,2.5105335765785878e-08,2.4338768465858697e-08,2.100153119001517e-08,2.7376678576465042e-08,2.7951574745284757e-08,1.560852444860581e-08,2.6518042159291507e-08,1.9193776473259385e-08,2.2852833239511347e-08,1.906021654452753e-08,2.6387303031582312e-08,1.9825294336795392e-08,1.7219450132465165e-08,2.6337628585052454e-08,1.654639717791068e-08,2.1828607664362888e-08,1.7973360950656616e-08,1.9764699260813493e-08,1.6214944732516563e-08,2.4616518594601462e-08,2.5352527201832172e-08,2.2428934717738868e-08,2.0134796138596695e-08,2.446651046223614e-08,3.398130444666506e-08,3.580675520579142e-08,3.654971015908731e-08,4.4145439545936213e-08,3.9637959860376976e-08,5.9553887705300564e-08,8.667595754308373e-08
4.16653777917899e-08,4.3426497341563744e-08,2.6931448463968152e-08,4.2449789520240346e-08,2.336534276612369e-08,2.0059357110720576e-08,2.757858819286358e-08,2.2578702088694472e-08,2.883182142145301e-08,2.7638569894625427e-08,2.0344166855970055e-08,2.771380853392383e-08,2.0036086924604406e-08,2.340693526459168e-08,2.1790059920323764e-08,2.0643054143723034e-08,2.0338161839808932e-08,2.6942658744980325e-08,2.544328303814055e-08,2.9154670675174984e-08,2.4969091032362865e-08,1.9151613031235485e-08,1.9202047990129063e-08,2.104823565987365e-08,1.9759279901413073e-08,2.0259076504770337e-08,2.3526965324873503e-08,2.6933160362774366e-08,1.7209068492152365e-08,2.036115102030701e-08,2.8274893857739168e-08,1.937731521195953e-08,1.9994090214519772e-08,2.999201629051291e-08,2.3137882809318488e-08,2.6139641578880077e-08,2.1576726690354756e-08,2.237165813355392e-08,3.406589660613643e-08,2.865262775347517e-08,2.3251764554526824e-08,2.7445484403687036e-08,4.11474680972651e-08,3.28420373000569e-08,3.814995228169056e-08,4.2170088167581784e-08,7.606708195074339e-08,9.514459771164244e-08
3.766409139259158e-08,2.9115535765199355e-08,2.5048118543227436e-08,4.647293005266206e-08,2.3933947191518097e-08,2.9413672099680732e-08,2.3639447235754096e-08,2.1300007291629524e-08,2.8837682001557298e-08,2.3138088242907605e-08,3.249940452973022e-08,2.215947872994295e-08,2.1312497335839e-08,2.2188744411108482e-08,2.1015539884246013e-08,4.413121692784957e-08,2.6959341067127794e-08,3.427218554404351e-08,2.30851419734196e-08,2.816097562818557e-08,2.2072606319738975e-08,2.1665096133466214e-08,2.5655488411284438e-08,1.9479959029271953e-08,2.4310976577713962e-08,2.532364637220242e-08,3.174848026846712e-08,1.8249290631774562e-08,2.159554704709229e-08,2.0283560501456287e-08,2.294562593178853e-08,2.110461293214479e-08,2.155588557020957e-08,2.279565921780155e-08,1.9105447071040016e-08,2.0660315882302462e-08,2.206979575233387e-08,2.2723613759550936e-08,3.452153832835036e-08,3.057565966915813e-08,2.996593507998833e-08,3.283527618744652e-08,3.462549495036596e-08,4.6638079932427235e-08,3.704818348750642e-08,4.270790639251895e-08,6.019050543672357e-08,9.569290816577147e-08
3.075540815719292e-08,3.058042305920661e-08,3.03608504950565e-08,2.921215640233503e-08,2.479351285702048e-08,1.9199008785138805e-08,2.3065594852986268e-08,2.4714096470445288e-08,2.8602465916018913e-08,1.9290437774377333e-08,2.0747018109213023e-08,2.099478689441867e-08,2.0165193715919064e-08,1.6923518640070785e-08,3.05314783622909e-08,2.4191252065069318e-08,3.20501404859817e-08,2.1211333884540503e-08,2.1438554977246718e-08,2.101997953587098e-08,1.7809125324157336e-08,1.7536597834563118e-08,1.808262952349795e-08,2.1888305025609894e-08,2.1160752731345476e-08,1.695262581207629e-08,2.198176440439767e-08,1.652401216537806e-08,1.9526543752007524e-08,1.910136450671445e-08,2.5835856563475282e-08,1.9203831478101924e-08,1.5059514606119417e-08,1.7866398385239287e-08,2.0674360386545626e-08,2.0206178396612417e-08,2.3386135569322133e-08,2.6569749113552408e-08,2.4513601033954823e-08,4.2492905918904184e-08,2.8211025554419174e-08,3.187539167031371e-08,3.2929553970529594e-08,3.7552582395840855e-08,4.142935073375108e-08,4.6777091452938774e-08,5.225076679312693e-08,8.89285614440678e-08
3.193340343336465e-08,1.8510609740616318e-08,3.079395199032755e-08,3.057807477905513e-08,3.9587698590887636e-08,2.5042866092263135e-08,2.301275774296559e-08,2.7996508403985582e-08,2.255800664180988e-08,1.5861726859742166e-08,1.6146955378000914e-08,1.6027132839247412e-08,2.378555090986592e-08,1.4655956490238147e-08,1.880991205771086e-08,1.7920734815872852e-08,2.291366242129895e-08,1.3232438513707456e-08,1.9082915605892817e-08,2.0154238381922338e-08,1.5438459623817928e-08,1.4576304758163836e-08,1.556444235274292e-08,1.671284718528506e-08,1.9239484232920356e-08,1.9422551776215365e-08,1.8429130011829054e-08,1.5812441612949034e-08,1.5629548453762002e-08,1.3966939115237333e-08,1.3266336900951887e-08,1.3274488787041351e-08,1.6547865597003516e-08,1.5761683357059947e-08,1.965171945471714e-08,1.4661202015466356e-08,2.360743712946726e-08,1.963495850981364e-08,2.071436518014869e-08,1.797590880083697e-08,1.9847087839745003e-08,2.2458764343304337e-08,2.4292842953439354e-08,2.3888080656847175e-08,3.853983318664373e-08,3.401671761801351e-08,5.355472509124676e-08,7.746919540607814e-08
3.5883057004656934e-08,2.3794051399606025e-08,2.8587772610144002e-08,2.7649510056418488e-08,2.9442839358701558e-08,2.6725221912278615e-08,3.846411236211203e-08,2.842142217152186e-08,2.2869050838021133e-08,2.306841941003163e-08,2.1248702207795544e-08,2.6837979657679564e-08,2.529906429570149e-08,2.1944150895852495e-08,2.8519376796753273e-08,2.1846222914286007e-08,1.6714732076125255e-08,2.532232747909085e-08,2.4554455968310386e-08,2.1179330735524914e-08,2.765317540326905e-08,2.7719355147142304e-08,1.566885268601573e-08,2.6096437780945257e-08,1.9312008276459345e-08,2.2694380042553787e-08,1.9178498174522584e-08,2.651667022185303e-08,1.98859523366894e-08,1.6951760761790845e-08,2.6171146936446874e-08,1.6602055357926686e-08,2.1690451026057108e-08,1.790578655069685e-08,1.9842334144023504e-08,1.6207168048887216e-08,2.4593937359267593e-08,2.5363028829294462e-08,2.2497431682435048e-08,2.0139594452127586e-08,2.4411261499076722e-08,3.4102630390409945e-08,3.597813504153954e-08,3.6536099314529326e-08,4.4271088331532985e-08,3.9635843391774177e-08,5.986710917064155e-08,8.63731846580273e-08
2.8524913833565578e-08,4.2957489793864285e-08,2.5941127873988184e-08,4.233445649808439e-08,2.339252920138547e-08,2.0164595226476972e-08,2.8945168297252392e-08,2.3604656988311774e-08,2.9554733617067314e-08,2.7254378815823534e-08,1.9866193730663845e-08,2.8302674709751443e-08,2.0472540737708903e-08,2.316582024245299e-08,2.2176785774784648e-08,2.1238344231659827e-08,2.0176051112306197e-08,2.6423243525656645e-08,2.5551299283786406e-08,2.890127650016972e-08,2.503872581717321e-08,1.914748937980917e-08,1.9355812766223295e-08,2.1236738454993283e-08,1.993576115151393e-08,2.009191865036585e-08,2.3303604658567965e-08,2.6903319206973316e-08,1.7150453079750144e-08,2.0599554464591347e-08,2.846389785828713e-08,1.9399567547284904e-08,2.010141714226386e-08,3.0050741437450605e-08,2.327649555362051e-08,2.6209658627081455e-08,2.1680469447219235e-08,2.2335306428015363e-08,3.420669560143951e-08,2.8607557550793323e-08,2.327833644908872e-08,2.744580744471802e-08,4.134124104711868e-08,3.305121099271146e-08,3.834297986739583e-08,4.215976942098394e-08,7.537013936127911e-08,9.424977908345889e-08
3.4336234696374683e-08,3.0611615647185604e-08,2.582892831092754e-08,4.118204456110452e-08,2.4491403779411716e-08,2.8224257347831067e-08,2.3132832364216142e-08,2.145404012011589e-08,2.8611049741735492e-08,2.3090624970376986e-08,3.258871256915243e-08,2.197897296372608e-08,2.0625777759651113e-08,2.1755879179754722e-08,2.132623421275161e-08,4.4723089039634996e-08,2.6944495317738267e-08,3.426642669357775e-08,2.284781715722535e-08,2.826335610312202e-08,2.1925396453824742e-08,2.1587797233615147e-08,2.5622787315626035e-08,1.9558608906064424e-08,2.438187972593295e-08,2.5333014239946045e-08,3.18563953329406e-08,1.8137594115462376e-08,2.1558045844371247e-08,2.033659376362102e-08,2.2997969186429442e-08,2.115452481472581e-08,2.1504085883151596e-08,2.280586879360586e-08,1.907154540744185e-08,2.0629131849624767e-08,2.2065684541300745e-08,2.2784799688092268e-08,3.4488664046793505e-08,3.0516205243029895e-08,3.000103723174871e-08,3.2777582281276365e-08,3.444445679184437e-08,4.661878777036729e-08,3.712374862292415e-08,4.263342023805259e-08,6.015758147318702e-08,9.487589723672877e-08
