,epoch,batch,group,sample,step,log_prob_new,log_prob_old,importance_ratio,clipped_ratio,kl_loss,reward,advantage,loss_clip,loss_base,loss_total,gradient,sampling_epoch
0,0,2,0,0,tensor(980),-0.8562920093536377,-0.8562920093536377,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,1.7552497542027357e-05,0
1,0,2,0,0,tensor(960),-0.8490292429924011,-0.8490292429924011,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,1.720831576643087e-05,0
2,0,2,0,0,tensor(940),-0.8389365077018738,-0.8389365077018738,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,3.722743057525336e-05,0
3,0,2,0,0,tensor(920),-0.8276311755180359,-0.8276311755180359,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,3.919245439906003e-05,0
4,0,2,0,0,tensor(900),-0.8232201933860779,-0.8232201933860779,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,5.479486908729082e-05,0
5,0,2,0,0,tensor(880),-0.8090764284133911,-0.8090764284133911,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,7.53695480214627e-05,0
6,0,2,0,0,tensor(860),-0.8010520339012146,-0.8010520339012146,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,8.433708084633229e-05,0
7,0,2,0,0,tensor(840),-0.793087363243103,-0.793087363243103,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,0.0001208339715880468,0
8,0,2,0,0,tensor(820),-0.783042311668396,-0.783042311668396,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,0.00013361420532352665,0
9,0,2,0,0,tensor(800),-0.770791232585907,-0.770791232585907,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,0.00016787406837803404,0
10,0,2,0,0,tensor(780),-0.7586405277252197,-0.7586405277252197,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,0.00022885398510874737,0
11,0,2,0,0,tensor(760),-0.7488760948181152,-0.7488760948181152,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,0.00029137834933102853,0
12,0,2,0,0,tensor(740),-0.7369771003723145,-0.7369771003723145,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,0.000343423085140457,0
13,0,2,0,0,tensor(720),-0.7279354929924011,-0.7279354929924011,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,0.0004950650530839413,0
14,0,2,0,0,tensor(700),-0.7119735479354858,-0.7119735479354858,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,0.0005155080877786473,0
15,0,2,0,0,tensor(680),-0.6991943120956421,-0.6991943120956421,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,0.0006757131901012216,0
16,0,2,0,0,tensor(660),-0.6845173239707947,-0.6845173239707947,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,0.0008022225776069889,0
17,0,2,0,0,tensor(640),-0.6700000762939453,-0.6700000762939453,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,0.0010470524528955476,0
18,0,2,0,0,tensor(620),-0.65785813331604,-0.65785813331604,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,0.0011923817623193606,0
19,0,2,0,0,tensor(600),-0.6441459655761719,-0.6441459655761719,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,0.0014019710396819085,0
20,0,2,0,0,tensor(580),-0.6294323205947876,-0.6294323205947876,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,0.0017870507863457436,0
21,0,2,0,0,tensor(560),-0.612596333026886,-0.612596333026886,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,0.0020175326875634743,0
22,0,2,0,0,tensor(540),-0.5968356132507324,-0.5968356132507324,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,0.0023103088933496855,0
23,0,2,0,0,tensor(520),-0.5774337649345398,-0.5774337649345398,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,0.0027182985576541295,0
24,0,2,0,0,tensor(500),-0.5590629577636719,-0.5590629577636719,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,0.0030289407038474672,0
25,0,2,0,0,tensor(480),-0.5388044714927673,-0.5388044714927673,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,0.0035039758048162908,0
26,0,2,0,0,tensor(460),-0.5217646956443787,-0.5217646956443787,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,0.0038566431960879496,0
27,0,2,0,0,tensor(440),-0.49730008840560913,-0.49730008840560913,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,0.004656784786682057,0
28,0,2,0,0,tensor(420),-0.4741355776786804,-0.4741355776786804,1.0,1.0,0.0,0.025309868156909943,-0.4308534562587738,-0.4308534562587738,0.4308534562587738,0.08617069572210312,0.005078136820356569,0
