,epoch,batch,group,sample,step,log_prob_new,log_prob_old,importance_ratio,clipped_ratio,kl_loss,reward,advantage,loss_clip,loss_base,loss_total,gradient,running_gradient,sampling_epoch
0,0,0,0,0,0,-0.8559882044792175,-0.8559882044792175,1.0,1.0,0.0,0.013999090529978275,-0.4486844539642334,-0.4486844539642334,0.4486844539642334,0.08973689377307892,0.002638860624437014,0.002638860624437014,0
1,0,0,0,0,1,-0.8478211760520935,-0.8478211760520935,1.0,1.0,0.0,0.013999090529978275,-0.4486844539642334,-0.4486844539642334,0.4486844539642334,0.08973689377307892,0.00218339937054534,0.0031336000842710444,0
2,0,0,0,0,2,-0.8375582695007324,-0.8375582695007324,1.0,1.0,0.0,0.013999090529978275,-0.4486844539642334,-0.4486844539642334,0.4486844539642334,0.08973689377307892,0.0021676066095508047,0.0035461941234451546,0
3,0,0,0,0,3,-0.8272711634635925,-0.8272711634635925,1.0,1.0,0.0,0.013999090529978275,-0.4486844539642334,-0.4486844539642334,0.4486844539642334,0.08973689377307892,0.002004778147896822,0.00396715615725128,0
4,0,0,0,0,4,-0.8228795528411865,-0.8228795528411865,1.0,1.0,0.0,0.013999090529978275,-0.4486844539642334,-0.4486844539642334,0.4486844539642334,0.08973689377307892,0.003175485971248436,0.005376263471471443,0
5,0,0,0,0,5,-0.8106977939605713,-0.8106977939605713,1.0,1.0,0.0,0.013999090529978275,-0.4486844539642334,-0.4486844539642334,0.4486844539642334,0.08973689377307892,0.0029237895142394865,0.0070635641871366695,0
6,0,0,0,0,6,-0.8024511337280273,-0.8024511337280273,1.0,1.0,0.0,0.013999090529978275,-0.4486844539642334,-0.4486844539642334,0.4486844539642334,0.08973689377307892,0.0023942458739254348,0.00705287596845768,0
7,0,0,0,0,7,-0.7913435697555542,-0.7913435697555542,1.0,1.0,0.0,0.013999090529978275,-0.4486844539642334,-0.4486844539642334,0.4486844539642334,0.08973689377307892,0.0024564630660618113,0.006502566692719632,0
8,0,0,0,0,8,-0.7801723480224609,-0.7801723480224609,1.0,1.0,0.0,0.013999090529978275,-0.4486844539642334,-0.4486844539642334,0.4486844539642334,0.08973689377307892,0.0028343588778725745,0.007519550466139062,0
9,0,0,0,0,9,-0.7676465511322021,-0.7676465511322021,1.0,1.0,0.0,0.013999090529978275,-0.4486844539642334,-0.4486844539642334,0.4486844539642334,0.08973689377307892,0.002907551689594258,0.007902125234041723,0
10,0,0,0,0,10,-0.7554997205734253,-0.7554997205734253,1.0,1.0,0.0,0.013999090529978275,-0.4486844539642334,-0.4486844539642334,0.4486844539642334,0.08973689377307892,0.0029844121499930346,0.009273208296420555,0
11,0,0,0,0,11,-0.749111533164978,-0.749111533164978,1.0,1.0,0.0,0.013999090529978275,-0.4486844539642334,-0.4486844539642334,0.4486844539642334,0.08973689377307892,0.0019284993324401125,0.009341482437012428,0
12,0,0,0,0,12,-0.7395009398460388,-0.7395009398460388,1.0,1.0,0.0,0.013999090529978275,-0.4486844539642334,-0.4486844539642334,0.4486844539642334,0.08973689377307892,0.001921849122418622,0.009611545342574654,0
13,0,0,0,0,13,-0.7245020866394043,-0.7245020866394043,1.0,1.0,0.0,0.013999090529978275,-0.4486844539642334,-0.4486844539642334,0.4486844539642334,0.08973689377307892,0.002364865358072006,0.010829847561937951,0
14,0,0,0,0,14,-0.7112075686454773,-0.7112075686454773,1.0,1.0,0.0,0.013999090529978275,-0.4486844539642334,-0.4486844539642334,0.4486844539642334,0.08973689377307892,0.0019052833431436084,0.011258068683704344,0
15,0,0,0,0,15,-0.6994156837463379,-0.6994156837463379,1.0,1.0,0.0,0.013999090529978275,-0.4486844539642334,-0.4486844539642334,0.4486844539642334,0.08973689377307892,0.0028463094242353695,0.012290186848178395,0
16,0,0,0,0,16,-0.6866928935050964,-0.6866928935050964,1.0,1.0,0.0,0.013999090529978275,-0.4486844539642334,-0.4486844539642334,0.4486844539642334,0.08973689377307892,0.002062274494737223,0.011963378131807251,0
17,0,0,0,0,17,-0.6740285754203796,-0.6740285754203796,1.0,1.0,0.0,0.013999090529978275,-0.4486844539642334,-0.4486844539642334,0.4486844539642334,0.08973689377307892,0.0018298997073208589,0.012281490722294671,0
18,0,0,0,0,18,-0.6570819616317749,-0.6570819616317749,1.0,1.0,0.0,0.013999090529978275,-0.4486844539642334,-0.4486844539642334,0.4486844539642334,0.08973689377307892,0.0018785788726855344,0.012654448521202897,0
19,0,0,0,0,19,-0.6390058398246765,-0.6390058398246765,1.0,1.0,0.0,0.013999090529978275,-0.4486844539642334,-0.4486844539642334,0.4486844539642334,0.08973689377307892,0.0033763307007986586,0.012934226719048762,0
20,0,0,0,0,20,-0.6245849132537842,-0.6245849132537842,1.0,1.0,0.0,0.013999090529978275,-0.4486844539642334,-0.4486844539642334,0.4486844539642334,0.08973689377307892,0.002183410562330378,0.013082091431851314,0
21,0,0,0,0,21,-0.6081335544586182,-0.6081335544586182,1.0,1.0,0.0,0.013999090529978275,-0.4486844539642334,-0.4486844539642334,0.4486844539642334,0.08973689377307892,0.0025133206777120387,0.013626637472520662,0
