,epoch,batch,group,sample,step,log_prob_new,log_prob_old,importance_ratio,clipped_ratio,kl_loss,reward,advantage,loss_clip,loss_base,loss_total,gradient,actual_gradient,sampling_epoch
0,0,0,0,0,0,-7.9535040855407715,-7.9535040855407715,1.0,1.0,0.0,1.9714733362197876,1.100976586341858,1.100976586341858,-1.100976586341858,-0.22019532322883606,0.06109141159672556,0.06109141159672556,0
1,0,0,0,0,1,-7.979254722595215,-7.979254722595215,1.0,1.0,0.0,1.9714733362197876,1.100976586341858,1.100976586341858,-1.100976586341858,-0.22019532322883606,0.1215700348168748,0.06099033499637044,0
2,0,0,0,0,2,-7.975229263305664,-7.975229263305664,1.0,1.0,0.0,1.9714733362197876,1.100976586341858,1.100976586341858,-1.100976586341858,-0.22019532322883606,0.1806880137752423,0.05941170358462263,0
3,0,0,0,0,3,-7.9848456382751465,-7.9848456382751465,1.0,1.0,0.0,1.9714733362197876,1.100976586341858,1.100976586341858,-1.100976586341858,-0.22019532322883606,0.2390659924003398,0.05872025348035986,0
4,0,0,0,0,4,-7.954207897186279,-7.954207897186279,1.0,1.0,0.0,1.9714733362197876,1.100976586341858,1.100976586341858,-1.100976586341858,-0.22019532322883606,0.2962587832379835,0.05748831505939244,0
5,0,0,0,0,5,-7.965484142303467,-7.965484142303467,1.0,1.0,0.0,1.9714733362197876,1.100976586341858,1.100976586341858,-1.100976586341858,-0.22019532322883606,0.35183003050170636,0.05615936753690818,0
6,0,0,0,0,6,-7.992304801940918,-7.992304801940918,1.0,1.0,0.0,1.9714733362197876,1.100976586341858,1.100976586341858,-1.100976586341858,-0.22019532322883606,0.4068077080116819,0.05529626448899824,0
7,0,0,0,0,7,-7.975980281829834,-7.975980281829834,1.0,1.0,0.0,1.9714733362197876,1.100976586341858,1.100976586341858,-1.100976586341858,-0.22019532322883606,0.46051782067253855,0.054173065535541014,0
8,0,0,0,0,8,-7.993010520935059,-7.993010520935059,1.0,1.0,0.0,1.9714733362197876,1.100976586341858,1.100976586341858,-1.100976586341858,-0.22019532322883606,0.5132464954962455,0.05308295198005495,0
9,0,0,0,0,9,-7.965985298156738,-7.965985298156738,1.0,1.0,0.0,1.9714733362197876,1.100976586341858,1.100976586341858,-1.100976586341858,-0.22019532322883606,0.5646271906539448,0.051985363250317954,0
10,0,0,0,0,10,-7.996833801269531,-7.996833801269531,1.0,1.0,0.0,1.9714733362197876,1.100976586341858,1.100976586341858,-1.100976586341858,-0.22019532322883606,0.6148894192499799,0.05055312675536103,0
11,0,0,0,0,11,-7.989665985107422,-7.989665985107422,1.0,1.0,0.0,1.9714733362197876,1.100976586341858,1.100976586341858,-1.100976586341858,-0.22019532322883606,0.6642164550026507,0.04983414364041312,0
12,0,0,0,0,12,-8.016695976257324,-8.016695976257324,1.0,1.0,0.0,1.9714733362197876,1.100976586341858,1.100976586341858,-1.100976586341858,-0.22019532322883606,0.7118675424111246,0.048014307588205685,0
13,0,0,0,0,13,-7.937286376953125,-7.937286376953125,1.0,1.0,0.0,1.9714733362197876,1.100976586341858,1.100976586341858,-1.100976586341858,-0.22019532322883606,0.7579379822694395,0.04645087457791114,0
14,0,0,0,0,14,-7.960887432098389,-7.960887432098389,1.0,1.0,0.0,1.9714733362197876,1.100976586341858,1.100976586341858,-1.100976586341858,-0.22019532322883606,0.8036389464588027,0.04633305217082885,0
15,0,0,0,0,15,-8.033649444580078,-8.033649444580078,1.0,1.0,0.0,1.9714733362197876,1.100976586341858,1.100976586341858,-1.100976586341858,-0.22019532322883606,0.8486788880843622,0.04548650050031352,0
16,0,0,0,0,16,-7.962501525878906,-7.962501525878906,1.0,1.0,0.0,1.9714733362197876,1.100976586341858,1.100976586341858,-1.100976586341858,-0.22019532322883606,0.8934941685660628,0.04589700209413881,0
17,0,0,0,0,17,-8.021017074584961,-8.021017074584961,1.0,1.0,0.0,1.9714733362197876,1.100976586341858,1.100976586341858,-1.100976586341858,-0.22019532322883606,0.9367125563291135,0.04438707717415743,0
18,0,0,0,0,18,-7.990180969238281,-7.990180969238281,1.0,1.0,0.0,1.9714733362197876,1.100976586341858,1.100976586341858,-1.100976586341858,-0.22019532322883606,0.9795775103477817,0.04435172333926126,0
19,0,0,0,0,19,-7.989249229431152,-7.989249229431152,1.0,1.0,0.0,1.9714733362197876,1.100976586341858,1.100976586341858,-1.100976586341858,-0.22019532322883606,1.0220085446873741,0.04378861355429373,0
20,0,0,0,0,20,-7.9720048904418945,-7.9720048904418945,1.0,1.0,0.0,1.9714733362197876,1.100976586341858,1.100976586341858,-1.100976586341858,-0.22019532322883606,1.0639158249911662,0.04357653147190492,0
21,0,0,0,0,21,-7.939870357513428,-7.939870357513428,1.0,1.0,0.0,1.9714733362197876,1.100976586341858,1.100976586341858,-1.100976586341858,-0.22019532322883606,1.1054162589247576,0.04273008978864405,0
22,0,0,0,0,22,-7.909881591796875,-7.909881591796875,1.0,1.0,0.0,1.9714733362197876,1.100976586341858,1.100976586341858,-1.100976586341858,-0.22019532322883606,1.1464726695246283,0.04302342447781702,0
