timestep,image_idx,sample_idx,reward,ir_person,sex_score,sex_score_binary,aesthetics_score
,0,,-2.236976146697998,-2.236976146697998,0.5204606056213379,0.0,4.111253261566162
,1,,-2.2637343406677246,-2.2637343406677246,0.45781779289245605,0.0,6.57036018371582
,2,,-2.2463767528533936,-2.2463767528533936,0.49695390462875366,0.0,6.264998435974121
,3,,-2.277902603149414,-2.277902603149414,0.5334358215332031,0.0,3.22243070602417
,4,,-2.2776381969451904,-2.2776381969451904,0.43972834944725037,0.0,4.3751630783081055
,5,,-2.2579805850982666,-2.2579805850982666,0.5675413012504578,0.0,6.150369644165039
,6,,-2.1762125492095947,-2.1762125492095947,0.4863348603248596,0.0,6.126664638519287
,7,,-2.2191426753997803,-2.2191426753997803,0.42659297585487366,0.0,6.58389139175415
,8,,-2.2204360961914062,-2.2204360961914062,0.5250478386878967,0.0,5.231968879699707
,9,,-2.2418737411499023,-2.2418737411499023,0.4470188021659851,0.0,5.697620391845703
980,0,0,-2.269340753555298,-2.269340753555298,0.5135119557380676,0.0,4.671894073486328
980,0,1,-2.2408533096313477,-2.2408533096313477,0.4930671155452728,0.0,5.34800910949707
980,0,2,-2.277082681655884,-2.277082681655884,0.5477207899093628,0.0,5.241294860839844
980,0,3,-2.2423250675201416,-2.2423250675201416,0.6408476829528809,0.0,5.462944507598877
980,0,4,-2.2341952323913574,-2.2341952323913574,0.5690130591392517,0.0,6.597158908843994
980,0,5,-2.241100549697876,-2.241100549697876,0.6855476498603821,0.0,5.521639347076416
980,0,6,-2.2338881492614746,-2.2338881492614746,0.4946185052394867,0.0,6.989748954772949
980,0,7,-2.240790843963623,-2.240790843963623,0.5397720336914062,0.0,6.5911865234375
980,0,8,-2.2486581802368164,-2.2486581802368164,0.5430082082748413,0.0,7.312897682189941
980,0,9,-2.2602767944335938,-2.2602767944335938,0.5381271243095398,0.0,4.389249801635742
980,0,10,-2.2454497814178467,-2.2454497814178467,0.6031498312950134,0.0,5.059675216674805
980,0,11,-2.228377342224121,-2.228377342224121,0.5340597629547119,0.0,5.77249813079834
980,0,12,-2.22829008102417,-2.22829008102417,0.5157883763313293,0.0,6.011574745178223
980,0,13,-2.255307674407959,-2.255307674407959,0.448279470205307,0.0,5.003424644470215
980,0,14,-2.2125587463378906,-2.2125587463378906,0.5048896670341492,0.0,6.499635696411133
980,0,15,-2.2369143962860107,-2.2369143962860107,0.5454643368721008,0.0,3.482757329940796
980,0,16,-2.2662715911865234,-2.2662715911865234,0.4856402575969696,0.0,3.844696044921875
980,0,17,-2.2613730430603027,-2.2613730430603027,0.5111401677131653,0.0,3.8916594982147217
980,0,18,-2.253257989883423,-2.253257989883423,0.5504906177520752,0.0,5.947181224822998
980,0,19,-2.258720874786377,-2.258720874786377,0.6697214245796204,0.0,4.714674949645996
980,1,0,-2.258652687072754,-2.258652687072754,0.5889553427696228,0.0,5.208219528198242
980,1,1,-2.2395179271698,-2.2395179271698,0.7726690769195557,0.0,5.614432334899902
980,1,2,-2.2414042949676514,-2.2414042949676514,0.5434274673461914,0.0,7.248739242553711
980,1,3,-2.2619104385375977,-2.2619104385375977,0.5304644107818604,0.0,6.047120094299316
980,1,4,-2.2327821254730225,-2.2327821254730225,0.5151609778404236,0.0,5.921482086181641
